availability,brand,color,description,name,price,sku
InStock,H&M,White,"Slim-fit, V-neck T-shirts in soft jersey.",3-pack Slim Fit V-neck T-shirts,1999.0,0542533001
InStock,H&M,Khaki green,Vest top in ribbed jersey made from a cotton blend.,Ribbed vest top,599.0,0881698017
InStock,H&M,Blue/N.Y. Neighbours,"Relaxed-fit T-shirt in soft cotton jersey with a print motif, round, rib-trimmed neckline, dropped shoulders and a straight-cut hem.",Relaxed Fit Printed T-shirt,799.0,1032522051
InStock,H&M,Dark yellow,"Oversized T-shirt in soft cotton jersey with a round, rib-trimmed neckline, dropped shoulders and a straight hem.",Oversized Fit Cotton T-shirt,799.0,1074658017
InStock,H&M,Black,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Raglan sleeves and anti-chafe flatlock seams for added comfort and increased mobility. Slightly longer at the back. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",DryMove™ Sports T-shirt,1499.0,1168526001
InStock,H&M,Yellow/Striped,"T-shirt in jersey made from a linen and cotton blend. Regular fit with a round, rib-trimmed neckline and a straight-cut hem.",Regular Fit Linen-blend T-shirt,1499.0,1167996002
InStock,H&M,Dark green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline, dropped shoulders and short sleeves.",Sports top in DryMove™,1999.0,1119367006
InStock,H&M,White,"Slim-fit, V-neck T-shirts in cotton jersey.",5-pack Slim Fit T-shirts,2699.0,0945059020
InStock,H&M,White/Grey marl,"Pyjamas with a slim-fit vest top and pair of regular-fit shorts in soft jersey. The shorts have an elasticated waist, a fake fly and side pockets.",Pyjama vest top and shorts,1499.0,1185543001
InStock,H&M,Sage green,Regular-fit sports top in fast-drying fabric designed to help keep you dry and cool while exercising. Stand-up collar and zip with a chin guard at the top. Long sleeves in a raglan cut to minimise chafing.,Long-sleeved sports top,1999.0,1088499007
InStock,H&M,Dark khaki green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a stand-up collar, zip at the top and long sleeves. Reflective details on the front and back.",DryMove™ Zip-top sports top,1999.0,1163612005
InStock,H&M,Dark red,"Polo shirt in a soft, fine-knit linen blend. Regular fit with a rib-knit collar and V-shaped opening at the top.",Regular Fit Linen-blend polo shirt,2299.0,1067136006
InStock,H&M,Black,"Regular-fit sports top in fast-drying piqué designed to help keep you dry and cool while exercising. Collar, two-button placket at the top and short sleeves with embroidered eyelets in the armpits for added ventilation. Straight-cut hem with a slit in each side.",Regular Fit Piqué sports top,1499.0,1070399001
InStock,H&M,Grey/Patterned,"Running vest top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and a gently rounded hem at the back.",DryMove™ Running vest top,799.0,1082103012
InStock,H&M,Burgundy marl,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",Sports top in DryMove™,1299.0,0653275078
InStock,H&M,Dark khaki green,"Running top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short sleeves in a raglan cut to minimise chafing, and a slit at each side of the hem. Reflective details on the sleeves and back.",DryMove™ Running top,1299.0,1025399041
InStock,H&M,Blue,Regular-fit sports top in fast-drying fabric designed to help keep you dry and cool while exercising. Stand-up collar and zip with a chin guard at the top. Long sleeves in a raglan cut to minimise chafing.,Long-sleeved sports top,1999.0,1088499008
InStock,H&M,Red,"Tennis shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a collar, zip at the top, short sleeves and a ventilation hole under the arms. Straight-cut hem with a slit at each side.",DryMove™ Tennis shirt,1999.0,1138069004
InStock,H&M,Black/Develop,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short sleeves and a print motif.",DryMove™ Sports top,1299.0,1168448001
InStock,H&M,Dark green,"Regular-fit T-shirt in soft jersey with a round, rib-trimmed neckline and a straight-cut hem. The T-shirt incorporates COOLMAX® functional fabric, a unique, soft, comfortable and fast-drying polyester fibre that efficiently wicks moisture while regulating temperature.",COOLMAX® Regular Fit T-shirt,999.0,0967153019
InStock,H&M,Beige/Patterned,"Running top in DryMove™ functional mesh fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short raglan sleeves and reflective print motifs on the front, sleeves and back.",DryMove™ Running top,1499.0,1154822001
InStock,H&M,Black/Light grey,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short raglan sleeves. Sections in a contrasting colour and fabric.",DryMove™ Sports top,1499.0,1177449008
